date,y_true,fcast_enet,hmean,nr_enet,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1972-05-01,0.019119,0.007407257975350084,0.008700247422680413,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-06-01,-0.023156,0.009401806735436865,0.008735928082191782,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-07-01,0.000345,0.006345570677743977,0.008627081911262798,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-08-01,0.036325,0.008190815369760114,0.008598911564625849,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-09-01,-0.006177,0.006813562629682508,0.008692898305084745,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-10-01,0.007478,0.004488985242923949,0.008642662162162161,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-11-01,0.046297,0.006867472584694709,0.00863874074074074,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-12-01,0.009963,0.00706449082060193,0.008765110738255033,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-01-01,-0.020452,0.0017584293244473433,0.008769117056856186,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-02-01,-0.038218,-0.012897472408737126,0.00867171333333333,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-03-01,-0.005193,-0.00534351329145968,0.008515933554817274,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-04-01,-0.044664,-0.004667040180626083,0.008470539735099336,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-05-01,-0.01915,-0.009166044134714788,0.00829517821782178,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-06-01,-0.010278,-0.014806550713661154,0.008204898026315787,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-07-01,0.034028,-0.014427072144354831,0.008144298360655736,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-08-01,-0.037944,-0.021020399503141513,0.008228885620915035,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-09-01,0.035219,-0.007067195972840008,0.008078485342019544,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
