date,y_true,fcast_ridge,hmean,nr_ridge,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2004-04-01,-0.016484,0.005728416087447766,0.006575189910979228,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-01,0.012829,0.003288845452140257,0.006541028148148147,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-01,0.018888,0.005299761434141479,0.0065503298816568046,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-01,-0.033754,0.005583448326144401,0.006568553914327916,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-01,0.002807,0.005982491201566062,0.006509081120943952,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-01,0.009717,0.007164442101982036,0.00650362886597938,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-01,0.013873,0.006330465681109948,0.006508354411764705,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-01,0.039459,0.006321406108111403,0.006519168869309837,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-01,0.032234,0.004404095329022162,0.006567467741935483,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-01-01,-0.025424,0.006598654721254564,0.006605046852122986,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-02-01,0.019552,0.006825702108885468,0.006558220760233917,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-01,-0.01884,0.005206031325128271,0.006577189781021896,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-01,-0.021026,0.0044376361017418285,0.006540138483965013,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-05-01,0.029894,0.005892081924943643,0.00650001310043668,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-06-01,-0.000683,0.00648842393994596,0.006534015988372091,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-07-01,0.035064,0.0069670675112977155,0.0065235413642960784,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-08-01,-0.011559,0.005385651036476474,0.006564904347826089,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-09-01,0.005067,0.006599251644228997,0.006538675832127353,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-10-01,-0.018572,0.004270762016682188,0.006536549132947979,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-11-01,0.035589,0.0033604645929713075,0.006500317460317462,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
