date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2009-07-01,0.074382,0.004161909906431629,0.005783135685210315,1,0,0,0,1,0,0,0,0,0,0,0,0
2009-08-01,0.034651,0.004689178595503187,0.005876088075880759,2,0,0,0,1,0,0,0,0,1,0,0,0
2009-09-01,0.036434,0.007041149213508676,0.005915025710419486,2,0,0,0,1,0,0,0,0,1,0,0,0
2009-10-01,-0.018359,0.006838172530626685,0.005956267567567568,2,0,0,0,1,0,0,0,0,1,0,0,0
2009-11-01,0.060257,0.003340143347067539,0.0059234534412955465,2,0,0,0,1,0,0,0,0,1,0,0,0
2009-12-01,0.018983,0.00703735937516122,0.005996679245283019,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-01-01,-0.035851,0.0021231813115015494,0.006014157469717363,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-02-01,0.030424,0.007436970797065944,0.005957887096774194,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-03-01,0.061014,0.005621181990919761,0.005990727516778524,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-04-01,0.015877,0.0050770327966570454,0.00606448525469169,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-05-01,-0.080211,0.007945218184107903,0.006077621151271754,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-06-01,-0.053625,0.0054821027864599145,0.005962262032085562,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-07-01,0.070351,0.002069777642639385,0.005882706275033378,1,0,0,0,1,0,0,0,0,0,0,0,0
2010-08-01,-0.045534,0.005054166430947662,0.005968663999999999,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-09-01,0.090283,0.009992041570226247,0.005900085219707057,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-10-01,0.038626,0.004289964577105458,0.006012296542553191,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-11-01,-0.000151,0.0037962714835349603,0.006055608233731739,2,0,0,0,1,0,0,0,0,1,0,0,0
2010-12-01,0.066954,0.004767215570006889,0.006047376657824934,2,0,0,0,1,0,0,0,0,1,0,0,0
